"SpeciesOriginal";"Species";"Status";"cryptogenic";"data-deficient";"non-indigenous"
"Isognomon radiatus (Anton, 1838)";"Isognomon radiatus";"non-indigenous";;;"IE"
"Isolda pulchella Müller in Grube, 1858";"Isolda pulchella";"data-deficient/non-indigenous";;"IT";"PT"
"Ixa monodi Holthuis & Gottlieb, 1956";"Ixa monodi";"non-indigenous";;;"EL"
"Jassa marmorata Holmes, 1905";"Jassa marmorata";"cryptogenic";"BE,DE,EL,IE,IT,NL,PT,ES,UK";;
"Jasus lalandii (H. Milne Edwards, 1837)";"Jasus lalandii";"non-indigenous";;;"PT"
"Jellyella tuberculata (Bosc, 1802)";"Jellyella tuberculata";"non-indigenous";;;"ES"
"Karenia brevisulcata (F.H.Chang) G.Hansen & Ø.Moestrup, 2000";"Karenia brevisulcata";"cryptogenic";"FR";;
"Karenia mikimotoi (Miyake & Kominami ex Oda) Gert Hansen & Ø.Moestrup, 2000";"Karenia mikimotoi";"non-indigenous";;;"DK,DE,EL,IE,NL,ES,SE,UK"
"Karenia papilionacea A.J.Haywood & K.A.Steidinger, 2004";"Karenia papilionacea";"non-indigenous";;;"FR"
"Karenia umbella de Salas, Bolch & Hallegraeff, 2004";"Karenia umbella";"non-indigenous";;;"FR"
"Kirchenpaueria halecioides (Alder, 1859)";"Kirchenpaueria halecioides";"non-indigenous";;;"PT"
"Koinostylochus ostreophagus (Hyman, 1955)";"Koinostylochus ostreophagus";"non-indigenous";;;"FR"
"Kornmannia leptoderma (Kjellman) Bliding, 1969";"Kornmannia leptoderma";"cryptogenic";"FR";;
"Labyrinthula zosterae D. Porter & Muehlst. in Muehlstein & Short, 1991";"Labyrinthula zosterae";"non-indigenous";;;"IE"
"Lactophrys triqueter (Linnaeus, 1758)";"Lactophrys triqueter";"non-indigenous";;;"IT"
"Laeospira berkeleyana (Rioja, 1942)";"Laeospira berkeleyana";"non-indigenous";;;"PT"
"Lagocephalus guentheri Miranda Ribeiro, 1915";"Lagocephalus guentheri";"non-indigenous";;;"CY,EL"
"Lagocephalus sceleratus (Gmelin, 1789)";"Lagocephalus sceleratus";"non-indigenous";;;"CY,EL"
"Lagocephalus suezensis Clark & Gohar, 1953";"Lagocephalus suezensis";"non-indigenous";;;"CY,EL"
"Laodicea fijiana Agassiz & Mayer, 1899";"Laodicea fijiana";"data-deficient";;"CY";
"Laurencia brongniartii J.Agardh, 1841";"Laurencia brongniartii";"non-indigenous";;;"FR,PT"
"Laurencia caduciramulosa Masuda & Kawaguchi, 1997";"Laurencia caduciramulosa";"non-indigenous";;;"FR,EL,IT,ES"
"Laurencia chondrioides Børgesen, 1918";"Laurencia chondrioides";"cryptogenic";"PT";;
"Laurencia dendroidea J.Agardh, 1852";"Laurencia dendroidea";"cryptogenic";"PT";;
"Laurencia okamurae Yamada, 1931";"Laurencia okamurae";"non-indigenous";;;"FR"
"Leathesia marina (Lyngbye) Decaisne, 1842";"Leathesia marina";"non-indigenous";;;"FR,IT"
"Leiocapitellides analis Hartmann-Schröder, 1960";"Leiocapitellides analis";"non-indigenous";;;"EL"
"Leiochrides australis Augener, 1914";"Leiochrides australis";"non-indigenous";;;"IT,ES"
"Leitoscoloplos kerguelensis (McIntosh, 1885)";"Leitoscoloplos kerguelensis";"data-deficient";;"ES";
"Leodice antennata Savigny in Lamarck, 1818";"Leodice antennata";"non-indigenous";;;"IT"
"Lepidodinium chlorophorum (M.Elbrächter & E.Schnepf) Gert Hansen, L.Botes & M.de Salas, 2007";"Lepidodinium chlorophorum";"cryptogenic";"DK";;
"Lepidonotus carinulatus (Grube, 1870)";"Lepidonotus carinulatus";"non-indigenous";;;"ES"
"Lepidonotus tenuisetosus (Gravier, 1902)";"Lepidonotus tenuisetosus";"non-indigenous";;;"EL"
"Leucosolenia somesii (Bowerbank, 1874)";"Leucosolenia somesii";"non-indigenous";;;"NL"
"Leucotina natalensis E. A. Smith, 1910";"Leucotina natalensis";"non-indigenous";;;"CY"
"Limnoria quadripunctata Holthuis, 1949";"Limnoria quadripunctata";"non-indigenous";;;"IE,PT"
"Limnoria tripunctata Menzies, 1951";"Limnoria tripunctata";"cryptogenic";"FR,PT";;
"Limulus polyphemus (Linnaeus, 1758)";"Limulus polyphemus";"non-indigenous";;;"DE"
"Linopherus canariensis Langerhans, 1881";"Linopherus canariensis";"non-indigenous";;;"CY,EL,IT"
"Lithophyllum yessoense Foslie, 1909";"Lithophyllum yessoense";"non-indigenous";;;"FR"
"Litosiphon laminariae (Lyngbye) Harvey, 1849";"Litosiphon laminariae";"cryptogenic";"UK";;
"Littorina saxatilis (Olivi, 1792)";"Littorina saxatilis";"non-indigenous";;;"IT"
"Loimia medusa (Savigny, 1822)";"Loimia medusa";"non-indigenous";;;"EL,IT"
"Lomentaria flaccida Tanaka, 1944";"Lomentaria flaccida";"non-indigenous";;;"FR"
"Lomentaria hakodatensis Yendo, 1920";"Lomentaria hakodatensis";"non-indigenous";;;"FR,IT,NL,PT,ES,UK"
"Longibranchium atlanticum (Day, 1973)";"Longibranchium atlanticum";"data-deficient";;"IT";
"Lophocladia lallemandii (Montagne) F.Schmitz, 1893";"Lophocladia lallemandii";"non-indigenous";;;"CY,EL,IT,MT,SI,ES"
"Lumbrinerides crassicephala (Hartman, 1965)";"Lumbrinerides crassicephala";"non-indigenous";;;"PT"
"Lumbrinerides neogesae Miura, 1981";"Lumbrinerides neogesae";"non-indigenous";;;"EL,IT"
"Lumbrineris acutiformis Gallardo, 1968";"Lumbrineris acutiformis";"non-indigenous";;;"IT"
"Lumbrineris perkinsi Carrera-Parra, 2001";"Lumbrineris perkinsi";"non-indigenous";;;"IT,ES"
"Lutjanus jocu (Bloch & Schneider, 1801)";"Lutjanus jocu";"cryptogenic";"IT";;
"Lutjanus sebae (Cuvier, 1816)";"Lutjanus sebae";"non-indigenous";;;"EL"
"Lyrodus pedicellatus (Quatrefages, 1849)";"Lyrodus pedicellatus";"cryptogenic";"FR,PT";;
"Lysidice collaris Grube, 1870";"Lysidice collaris";"non-indigenous";;;"CY,EL,IT,ES"
"Macromedaeus voeltzkowi (Lenz, 1905)";"Macromedaeus voeltzkowi";"non-indigenous";;;"FR"
"Macrophthalmus (Macrophthalmus) indicus Davie, 2012";"Macrophthalmus (Macrophthalmus) indicus";"non-indigenous";;;"CY,EL"
"Macrorhynchia philippina Kirchenpauer, 1872";"Macrorhynchia philippina";"non-indigenous";;;"PT"
"Maeotias marginata (Modeer, 1791)";"Maeotias marginata";"non-indigenous";;;"EE,FR,PT"
"Magallana angulata (Lamarck, 1819)";"Magallana angulata";"non-indigenous";;;"DE"
"Magallana gigas (Thunberg, 1793)";"Magallana gigas";"non-indigenous";;;"BE,HR,DK,FR,DE,EL,IE,IT,MT,NL,PT,RO,SI,ES,SE,UK"
"Magallana rivularis (Gould, 1861)";"Magallana rivularis";"non-indigenous";;;"FR"
"Magallana sikamea (Amemiya, 1928)";"Magallana sikamea";"non-indigenous";;;"FR"
"Malleus regula (Forsskål in Niebuhr, 1775)";"Malleus regula";"non-indigenous";;;"CY,EL"
"Marenzelleria arctia (Chamberlin, 1920)";"Marenzelleria arctia";"non-indigenous";;;"FI,SE"
"Marenzelleria neglecta Sikorski & Bick, 2004";"Marenzelleria neglecta";"non-indigenous";;;"BE,DK,EE,FI,DE,LV,LT,NL,PL,SE"
"Marenzelleria viridis (Verrill, 1873)";"Marenzelleria viridis";"non-indigenous";;;"BE,DK,FI,DE,IE,NL,PL,SE,UK"
"Margalefidinium polykrikoides (Margalef, 1961) F.Gómez, Richlen & D.M.Anderson, 2017";"Margalefidinium polykrikoides";"data-deficient";;"BG,HR";
"Marginella glabella (Linnaeus, 1758)";"Marginella glabella";"non-indigenous";;;"ES"
"Marphysa adenensis Gravier, 1900";"Marphysa adenensis";"cryptogenic";"EL";;
"Marphysa sanguinea (Montagu, 1813)";"Marphysa sanguinea";"non-indigenous";;;"NL"
"Martesia striata (Linnaeus, 1758)";"Martesia striata";"non-indigenous";;;"IE,UK"
"Mediomastus capensis Day, 1961";"Mediomastus capensis";"data-deficient/non-indigenous";;"ES";"EL,IT"
"Mediopyxis helysia Kühn, Hargreaves & Halliger, 2006";"Mediopyxis helysia";"non-indigenous";;;"DE,NL"
"Megabalanus coccopoma (Darwin, 1854)";"Megabalanus coccopoma";"non-indigenous";;;"BE,FR,NL"
"Megabalanus tintinnabulum (Linnaeus, 1758)";"Megabalanus tintinnabulum";"non-indigenous";;;"BE,HR,FR,EL,IE,IT,MT,NL,SI"
"Melanothamnus harveyi (Bailey) Díaz-Tapia & Maggs, 2017";"Melanothamnus harveyi";"non-indigenous";;;"BE,DK,FR,DE,EL,IE,IT,NL,PT,ES,SE,UK"
"Melibe viridis (Kelaart, 1858)";"Melibe viridis";"non-indigenous";;;"HR,CY,EL,IT,MT"
"Melita nitida Smith, 1873";"Melita nitida";"non-indigenous";;;"BE,DE,NL"
"Membranipora membranacea (Linnaeus, 1767)";"Membranipora membranacea";"non-indigenous";;;"PT"
"Menaethius monoceros (Latreille, 1825)";"Menaethius monoceros";"non-indigenous";;;"IT"
"Mercenaria mercenaria (Linnaeus, 1758)";"Mercenaria mercenaria";"non-indigenous";;;"FR,IE,IT,NL,PT,ES,UK"
"Mercenaria mercenaria (Linnaeus, 1758) ";"Mercenaria mercenaria";"non-indigenous";;;"BE"
"Merhippolyte ancistrota Crosnier & Forest, 1973";"Merhippolyte ancistrota";"non-indigenous";;;"ES"
"Mesanthura cfr. romulea Poore & Lew Ton, 1986";"Mesanthura cfr.";"non-indigenous";;;"IT"
"Metacalanus acutioperculum Ohtsuka, 1984";"Metacalanus acutioperculum";"non-indigenous";;;"IT"
"Metapenaeopsis aegyptia Galil & Golani, 1990";"Metapenaeopsis aegyptia";"non-indigenous";;;"CY,EL"
"Metapenaeopsis mogiensis consobrina (Nobili, 1904)";"Metapenaeopsis mogiensis";"non-indigenous";;;"EL"
"Metapenaeus monoceros (Fabricius, 1798)";"Metapenaeus monoceros";"non-indigenous";;;"CY"
"Metasychis gotoi (Izuka, 1902)";"Metasychis gotoi";"cryptogenic/data-deficient";"CY,EL,IT,PT,ES";"HR";
"Metaxia bacillum (Issel, 1869)";"Metaxia bacillum";"non-indigenous";;;"CY"
"Microcosmus anchylodeirus Traustedt, 1883";"Microcosmus anchylodeirus";"cryptogenic";"FR";;
"Microcosmus squamiger Michaelsen, 1927";"Microcosmus squamiger";"non-indigenous";;;"FR,IT,MT,PT,ES"
"Microphthalmus similis Bobretzky, 1870";"Microphthalmus similis";"cryptogenic";"DE";;
"Micropogonias undulatus (Linnaeus, 1766)";"Micropogonias undulatus";"data-deficient/non-indigenous";;"BE";"NL"
"Microporella ciliata (Pallas, 1766)";"Microporella ciliata";"non-indigenous";;;"ES"
"Microporella coronata (Audouin, 1826)";"Microporella coronata";"data-deficient";;"IT";
"Microspongium globosum Reinke, 1888";"Microspongium globosum";"cryptogenic";"UK";;
"Microspongium stilophorae (P.L.Crouan & H.M.Crouan) Cormaci & G.Furnari, 2012";"Microspongium stilophorae";"non-indigenous";;;"FR"
"Miliolinella fichteliana (d'Orbigny, 1839)";"Miliolinella fichteliana";"non-indigenous";;;"EL"
"Mizuhopecten yessoensis (Jay, 1857)";"Mizuhopecten yessoensis";"non-indigenous";;;"FR,IE"
"Mnemiopsis leidyi A. Agassiz, 1865";"Mnemiopsis leidyi";"non-indigenous";;;"BE,BG,DK,FR,DE,EL,IT,NL,PL,RO,SI,ES,SE"
"Mnestia girardi (Audouin, 1826)";"Mnestia girardi";"non-indigenous";;;"CY,EL"
"Moerisia inkermanica Paltschikowa-Ostroumowa, 1925";"Moerisia inkermanica";"cryptogenic/non-indigenous";"IT";;"FR,NL"
"Molgula manhattensis (De Kay, 1843)";"Molgula manhattensis";"cryptogenic/non-indigenous";"BE,FR,DE,EL,IE,NL,PT,RO,ES,SE,UK";;"DK"
"Molgula plana Monniot C., 1971";"Molgula plana";"non-indigenous";;;"PT"
"Monocorophium acherusicum (Costa, 1853)";"Monocorophium acherusicum";"data-deficient";;"IE,ES,UK";
"Monocorophium sextonae (Crawford, 1937)";"Monocorophium sextonae";"cryptogenic";"BE,FR,DE,IE,NL,ES,UK";;
"Mya arenaria Linnaeus, 1758";"Mya arenaria";"cryptogenic/non-indigenous";"BE,DK,EE,FI,DE,IE,LV,LT,NL,PL,PT,ES,SE,UK";;"BG,FR,EL,IT,RO"
"Mycale (Carmia) micracanthoxea Buizer & van Soest, 1977";"Mycale (Carmia) micracanthoxea";"non-indigenous";;;"NL"
"Mycale (Carmia) senegalensis Lévi, 1952";"Mycale (Carmia) senegalensis";"non-indigenous";;;"PT"
"Myra subgranulata Kossmann, 1877";"Myra subgranulata";"non-indigenous";;;"EL"
"Myriactula rivulariae (Suhr ex Areschoug) Feldmann, 1937";"Myriactula rivulariae";"cryptogenic";"NL,UK";;
"Mytilopsis leucophaeata (Conrad, 1831)";"Mytilopsis leucophaeata";"non-indigenous";;;"BE,FI,DE,NL,PL,SE"
"Mytilus edulis Linnaeus, 1758";"Mytilus edulis";"non-indigenous";;;"PT"
"Naineris quadraticeps Day, 1965";"Naineris quadraticeps";"cryptogenic";"EL";;
"Naineris setosa (Verrill, 1900)";"Naineris setosa";"non-indigenous";;;"IT"
"Navicula finmarchica (Cleve & Grunow) Cleve, 1895";"Navicula finmarchica";"non-indigenous";;;"BG,RO"
"Neanthes agulhana (Day, 1963)";"Neanthes agulhana";"non-indigenous";;;"EL,IT,ES"
"Necora puber (Linnaeus, 1767)";"Necora puber";"non-indigenous";;;"ES,SE"
"Nemalion vermiculare Suringar, 1874";"Nemalion vermiculare";"non-indigenous";;;"FR"
"Nemopsis bachei L. Agassiz, 1849";"Nemopsis bachei";"non-indigenous";;;"BE,FR,DE,NL"
"Neodexiospira brasiliensis (Grube, 1872)";"Neodexiospira brasiliensis";"non-indigenous";;;"FR,NL"
"Neogobius melanostomus (Pallas, 1814)";"Neogobius melanostomus";"non-indigenous";;;"BE,DK,EE,FI,DE,LV,LT,NL,PL,SE"
"Neomysis americana (S.I. Smith, 1873)";"Neomysis americana";"non-indigenous";;;"NL"
"Neomysis integer (Leach, 1814)";"Neomysis integer";"non-indigenous";;;"ES"
"Neopseudocapitella brasiliensis Rullier & Amoureux, 1979";"Neopseudocapitella brasiliensis";"cryptogenic/data-deficient";"HR,CY,EL,ES";"IT";
"Neosiphonia paniculata (Montagne) J.N.Norris, 2014";"Neosiphonia paniculata";"data-deficient/non-indigenous";;"HR";"FR,IT"
"Neosiphonia sphaerocarpa (Børgesen) M.-S.Kim & I.K.Lee, 1999";"Neosiphonia sphaerocarpa";"cryptogenic";"PT";;
"Nephtys ciliata (Müller, 1788)";"Nephtys ciliata";"data-deficient";;"BG";
"Neptunea arthritica (Valenciennes, 1858)";"Neptunea arthritica";"non-indigenous";;;"BG"
"Nereis jacksoni Kinberg, 1865";"Nereis jacksoni";"data-deficient/non-indigenous";;"FR,ES";"IT"
"Nereis persica Fauvel, 1911";"Nereis persica";"data-deficient";;"HR";
"Nerita sanguinolenta Menke, 1829";"Nerita sanguinolenta";"non-indigenous";;;"EL"
"Nicidion cariboea (Grube, 1856)";"Nicidion cariboea";"data-deficient";;"ES";
"Nitophyllum stellato-corticatum Okamura, 1932";"Nitophyllum stellato-corticatum";"non-indigenous";;;"FR"
"Notocochlis gualtieriana (Récluz, 1844)";"Notocochlis gualtieriana";"non-indigenous";;;"MT"
"Notomastus aberans Day, 1957";"Notomastus aberans";"non-indigenous";;;"CY,FR,EL,IT,ES"
"Notomastus mossambicus (Thomassin, 1970)";"Notomastus mossambicus";"data-deficient/non-indigenous";;"ES";"CY"
"Notopygos crinita Grube, 1855";"Notopygos crinita";"non-indigenous";;;"IT"
"Novafabricia infratorquata (Fitzhugh, 1973)";"Novafabricia infratorquata";"data-deficient/non-indigenous";;"IT";"ES"
"Obesogammarus crassus (Sars G.O., 1894)";"Obesogammarus crassus";"non-indigenous";;;"LT,PL"
"Ochetostoma erythrogrammon Rüppell & Leuckart, 1828";"Ochetostoma erythrogrammon";"non-indigenous";;;"HR"
"Ocinebrellus inornatus (Récluz, 1851)";"Ocinebrellus inornatus";"non-indigenous";;;"DK,FR,NL,PT"
"Octotiara russelli Kramp, 1953";"Octotiara russelli";"data-deficient";;"FR";
"Oculina patagonica de Angelis, 1908";"Oculina patagonica";"cryptogenic";"HR,FR,EL,ES";;
"Oenone fulgida (Savigny in Lamarck, 1818)";"Oenone fulgida";"data-deficient";;"CY";
"Oithona davisae Ferrari F.D. & Orsi, 1984";"Oithona davisae";"non-indigenous";;;"BG,DE,RO"
"Oithona similis Claus, 1866";"Oithona similis";"data-deficient";;"ES";
"Oncorhynchus gorbuscha (Walbaum, 1792)";"Oncorhynchus gorbuscha";"non-indigenous";;;"DK,LV,SE"
"Oncorhynchus kisutch (Walbaum, 1792)";"Oncorhynchus kisutch";"data-deficient/non-indigenous";;"LV";"SE"
"Oncorhynchus mykiss (Walbaum, 1792)";"Oncorhynchus mykiss";"non-indigenous";;;"DK,EE,FI,LV,LT,NL,PL,SE"
"Ondina michaelae Cachia & Mifsud, 2015";"Ondina michaelae";"cryptogenic";"MT";;
"Ophiactis macrolepidota Marktanner-Turneretscher, 1887";"Ophiactis macrolepidota";"non-indigenous";;;"CY"
"Ophiactis savignyi (Müller & Troschel, 1842)";"Ophiactis savignyi";"non-indigenous";;;"CY,FR,EL"
"Ophryotrocha diadema Åkesson, 1976";"Ophryotrocha diadema";"non-indigenous";;;"IT"
"Ophryotrocha japonica Paxton & Åkesson, 2010";"Ophryotrocha japonica";"non-indigenous";;;"IT"
"Oplegnathus fasciatus (Temminck & Schlegel, 1844)";"Oplegnathus fasciatus";"non-indigenous";;;"MT"
"Ostraea angasi G. B. Sowerby II, 1871";"Ostraea angasi";"non-indigenous";;;"FR"
"Ostrea chilensis Philippi, 1844";"Ostrea chilensis";"non-indigenous";;;"FR,UK"
"Ostrea denselamellosa Lischke, 1869";"Ostrea denselamellosa";"non-indigenous";;;"FR"
"Ostrea puelchana d'Orbigny, 1842";"Ostrea puelchana";"non-indigenous";;;"FR"
"Ostreopsis ovata Fukuyo, 1981";"Ostreopsis ovata";"cryptogenic";"HR,EL,IT,PT";;
"Ostreopsis siamensis Johs.Schmidt, 1901";"Ostreopsis siamensis";"cryptogenic";"EL,PT,ES";;
"Oxytoxum criophilum Balech, 1965";"Oxytoxum criophilum";"non-indigenous";;;"SE"
"Oxyurichthys papuensis (Valenciennes, 1837)";"Oxyurichthys papuensis";"non-indigenous";;;"EL"
"Pachycordyle michaeli (Berrill, 1948)";"Pachycordyle michaeli";"non-indigenous";;;"DK,DE,NL,UK"
"Pachygrapsus marmoratus (Fabricius, 1787)";"Pachygrapsus marmoratus";"non-indigenous";;;"UK"
"Pachymeniopsis lanceolata (K.Okamura) Y.Yamada ex S.Kawabata, 1954";"Pachymeniopsis lanceolata";"data-deficient/non-indigenous";;"IT";"FR,PT,ES"
"Pacificincola perforata (Okada & Mawatari, 1937)";"Pacificincola perforata";"non-indigenous";;;"NL"
"Padina boergesenii Allender & Kraft, 1983";"Padina boergesenii";"data-deficient/non-indigenous";;"MT";"IT"
"Padina boryana Thivy, 1966";"Padina boryana";"non-indigenous";;;"EL"
"Pagrus major (Temminck & Schlegel, 1843)";"Pagrus major";"non-indigenous";;;"HR"
"Pagurus mbizi (Forest, 1955)";"Pagurus mbizi";"cryptogenic";"ES";;
"Palaemon elegans Rathke, 1837";"Palaemon elegans";"cryptogenic";"DK,EE,FI,DE,LV,LT,PL";;
"Palaemon macrodactylus Rathbun, 1902";"Palaemon macrodactylus";"non-indigenous";;;"BE,BG,FR,DE,IT,NL,PT,RO,ES,UK"
"Palisada maris-rubri (K.W.Nam & Saito) K.W.Nam, 2007";"Palisada maris-rubri";"cryptogenic";"EL,IT,ES";;
"Papenfussiella kuromo (Yendo) Inagaki, 1958";"Papenfussiella kuromo";"non-indigenous";;;"PT"
"Paracaprella pusilla Mayer, 1890";"Paracaprella pusilla";"non-indigenous";;;"ES"
"Paracartia grani Sars G.O., 1904";"Paracartia grani";"non-indigenous";;;"FR,EL,IT,ES"
"Paracerceis sculpta (Holmes, 1904)";"Paracerceis sculpta";"non-indigenous";;;"EL,IT,ES"
"Paradella dianae (Menzies, 1962)";"Paradella dianae";"non-indigenous";;;"CY,IT,ES"
"Paradyte crinoidicola (Potts, 1910)";"Paradyte crinoidicola";"data-deficient";;"EL";
"Paralaeospira malardi Caullery & Mesnil, 1897";"Paralaeospira malardi";"cryptogenic";"IE,UK";;
"Paraleucilla magna Klautau, Monteiro & Borojevic, 2004";"Paraleucilla magna";"non-indigenous";;;"HR,IT,MT,PT,ES"
"Paralithodes camtschaticus (Tilesius, 1815)";"Paralithodes camtschaticus";"non-indigenous";;;"IT"
"Paramphiascella vararensis (Scott T., 1903)";"Paramphiascella vararensis";"data-deficient";;"FR";
"Paramysis (Mesomysis) intermedia (Czerniavsky, 1882)";"Paramysis (Mesomysis) intermedia";"non-indigenous";;;"EE"
"Paramysis (Serrapalpisis) lacustris (Czerniavsky, 1882)";"Paramysis (Serrapalpisis) lacustris";"non-indigenous";;;"LT"
"Paranais frici Hrabe, 1941";"Paranais frici";"non-indigenous";;;"FI"
"Paranthias furcifer (Valenciennes, 1828)";"Paranthias furcifer";"non-indigenous";;;"HR"
"Paranthura japonica Richardson, 1909";"Paranthura japonica";"non-indigenous";;;"IT"
"Paraprionospio coora Wilson, 1990";"Paraprionospio coora";"cryptogenic";"EL,ES";;
"Parasmittina protecta (Thornely, 1905)";"Parasmittina protecta";"non-indigenous";;;"PT"
"Paratapes textilis (Gmelin, 1791)";"Paratapes textilis";"non-indigenous";;;"CY"
"Parexocoetus mento (Valenciennes, 1847)";"Parexocoetus mento";"non-indigenous";;;"CY,EL"
"Parvocalanus crassirostris (Dahl F., 1894)";"Parvocalanus crassirostris";"non-indigenous";;;"FR,EL"
"Pecten maximus (Linnaeus, 1758)";"Pecten maximus";"non-indigenous";;;"NL"
"Pegidia lacunata McCulloch, 1977";"Pegidia lacunata";"non-indigenous";;;"CY"
"Pelates quadrilineatus (Bloch, 1790)";"Pelates quadrilineatus";"data-deficient";;"IT";
"Pempheris rhomboidea Kossmann & Räuber, 1877";"Pempheris rhomboidea";"non-indigenous";;;"CY,EL"
"Penaeus japonicus Spence Bate, 1888";"Penaeus japonicus";"non-indigenous";;;"FR,IE,IT,PT,ES,UK"
"Penaeus pulchricaudatus Stebbing, 1914";"Penaeus pulchricaudatus";"non-indigenous";;;"CY,EL"
"Percnon gibbesi (H. Milne Edwards, 1853)";"Percnon gibbesi";"non-indigenous";;;"CY,EL,IT,MT,PT,ES"
"Perforatus perforatus (Bruguière, 1789)";"Perforatus perforatus";"non-indigenous";;;"PT"
"Peridiniella catenata (Levander) Balech, 1977";"Peridiniella catenata";"non-indigenous";;;"DK"
"Peridiniella danica (Paulsen) Y.B.Okolodkov & J.D.Dodge, 1995";"Peridiniella danica";"non-indigenous";;;"DK"
"Perinereis aibuhitensis (Grube, 1878)";"Perinereis aibuhitensis";"non-indigenous";;;"ES"
"Perophora japonica Oka, 1927";"Perophora japonica";"non-indigenous";;;"FR,DE,NL,ES,UK"
"Perophora multiclathrata (Sluiter, 1904)";"Perophora multiclathrata";"non-indigenous";;;"FR,IT"
"Perophora viridis Verrill, 1871";"Perophora viridis";"cryptogenic";"IT,PT";;
"Petalonia binghamiae (J.Agardh) K.L.Vinogradova, 1973";"Petalonia binghamiae";"non-indigenous";;;"PT"
"Petricolaria pholadiformis (Lamarck, 1818)";"Petricolaria pholadiformis";"non-indigenous";;;"BE,DK,FR,DE,EL,NL,ES,SE,UK"
"Petroscirtes ancylodon Rüppell, 1835";"Petroscirtes ancylodon";"non-indigenous";;;"EL"
"Phaeocystis pouchetii (Hariot) Lagerheim, 1896";"Phaeocystis pouchetii";"cryptogenic";"BG,EL,IE,UK";;
"Phallusia nigra Savigny, 1816";"Phallusia nigra";"non-indigenous";;;"EL"
"Phascolosoma (Phascolosoma) scolops (Selenka & de Man, 1883)";"Phascolosoma (Phascolosoma) scolops";"non-indigenous";;;"HR,CY"
"Pherusella brevituba Soule, 1951";"Pherusella brevituba";"non-indigenous";;;"IT"
"Phorcus lineatus (da Costa, 1778)";"Phorcus lineatus";"non-indigenous";;;"NL"
"Photis lamellifera Schellenberg, 1928";"Photis lamellifera";"data-deficient";;"IT";
"Phyllorhiza punctata Lendenfeld, 1884";"Phyllorhiza punctata";"non-indigenous";;;"EL,IT,ES"
"Pikea californica Harvey, 1853";"Pikea californica";"non-indigenous";;;"ES,UK"
"Pileolaria berkeleyana (Rioja, 1942)";"Pileolaria berkeleyana";"non-indigenous";;;"FR,IT,NL,UK"
"Pileolaria militaris Claparède, 1870";"Pileolaria militaris";"cryptogenic";"IE,UK";;
"Pilumnoides inglei Guinot & Macpherson, 1987";"Pilumnoides inglei";"cryptogenic";"IE";;
"Pilumnopeus vauquelini (Audouin, 1826)";"Pilumnopeus vauquelini";"non-indigenous";;;"CY"
"Pilumnus hirtellus (Linnaeus, 1761)";"Pilumnus hirtellus";"non-indigenous";;;"SE"
"Pilumnus spinifer H. Milne Edwards, 1834";"Pilumnus spinifer";"non-indigenous";;;"SE"
"Pinctada imbricata radiata (Leach, 1814)";"Pinctada imbricata";"non-indigenous";;;"HR,CY,FR,EL,IT,MT,PT,ES"
"Pinguipes brasilianus Cuvier, 1829";"Pinguipes brasilianus";"non-indigenous";;;"IT"
"Pista unibranchia Day, 1963";"Pista unibranchia";"non-indigenous";;;"CY,IT,ES"
"Planiliza haematocheila (Temminck & Schlegel, 1845)";"Planiliza haematocheila";"non-indigenous";;;"BG,EL,RO"
"Planispirinella exigua (Brady, 1879)";"Planispirinella exigua";"non-indigenous";;;"HR"
"Planogypsina acervalis (Brady, 1884)";"Planogypsina acervalis";"non-indigenous";;;"HR,EL"
"Platorchestia platensis (Krøyer, 1845)";"Platorchestia platensis";"cryptogenic/non-indigenous";"DK,FR,DE,NL,SE";;"PL"
"Platycephalus indicus (Linnaeus, 1758)";"Platycephalus indicus";"non-indigenous";;;"IT"
"Pleurosigma simonsenii Hasle, 1990";"Pleurosigma simonsenii";"non-indigenous";;;"DE,NL"
"Plocamium secundatum (Kützing) Kützing, 1866";"Plocamium secundatum";"data-deficient/non-indigenous";;"ES";"IT"
"Podarkeopsis capensis (Day, 1963)";"Podarkeopsis capensis";"data-deficient/non-indigenous";;"EL,IE";"IT,UK"
"Poecilopsetta beanii (Goode, 1881)";"Poecilopsetta beanii";"non-indigenous";;;"IE"
"Polyandrocarpa zorritensis (Van Name, 1931)";"Polyandrocarpa zorritensis";"non-indigenous";;;"IT,ES"
"Polycera hedgpethi Er. Marcus, 1964";"Polycera hedgpethi";"non-indigenous";;;"FR,IT,ES"
"Polycerella emertoni A. E. Verrill, 1880";"Polycerella emertoni";"non-indigenous";;;"EL,IT,MT,ES"
"Polycirrus twisti Potts, 1928";"Polycirrus twisti";"non-indigenous";;;"EL"
"Polyclinum aurantium Milne Edwards, 1841";"Polyclinum aurantium";"non-indigenous";;;"PT"
"Polydora colonia Moore, 1907";"Polydora colonia";"non-indigenous";;;"IT,ES"
"Polydora cornuta Bosc, 1802";"Polydora cornuta";"non-indigenous";;;"BG,FR,EL,IT,PT,RO,ES,UK"
"Polydora hoplura Claparède, 1868";"Polydora hoplura";"non-indigenous";;;"BE,FR,NL,UK"
"Polydora spongicola Berkeley & Berkeley, 1950";"Polydora spongicola";"cryptogenic";"EL";;
"Polydora websteri Hartman in Loosanoff & Engle, 1943";"Polydora websteri";"cryptogenic";"RO";;
"Polyopes lancifolius (Harvey) Kawaguchi & Wang, 2002";"Polyopes lancifolius";"non-indigenous";;;"FR"
