"SpeciesOriginal";"Species";"Status";"cryptogenic";"data-deficient";"non-indigenous"
"Apoglossum gregarium (E.Y.Dawson) M.J.Wynne";"Apoglossum gregarium";"cryptogenic";"FR";;
"Apoglossum gregarium (E.Y.Dawson) M.J.Wynne, 1985";"Apoglossum gregarium";"cryptogenic";"EL,IT,ES";;
"Apogonichthyoides pharaonis (Bellotti, 1874)";"Apogonichthyoides pharaonis";"non-indigenous";;;"CY,EL"
"Aquilonastra burtoni (Gray, 1840)";"Aquilonastra burtoni";"non-indigenous";;;"CY"
"Arachnoidella protecta Harmer, 1915";"Arachnoidella protecta";"non-indigenous";;;"IT,ES"
"Arbopercula tenella (Hincks, 1880)";"Arbopercula tenella";"non-indigenous";;;"IT"
"Arctapodema australis (Vanhöffen, 1912)";"Arctapodema australis";"data-deficient/non-indigenous";;"FR";"HR"
"Arcuatula senhousia (Benson, 1842)";"Arcuatula senhousia";"non-indigenous";;;"HR,FR,IT,RO,SI"
"Arhynchite arhynchite (Ikeda, 1924)";"Arhynchite arhynchite";"non-indigenous";;;"FR"
"Arietellus pavoninus Sars G.O., 1905";"Arietellus pavoninus";"non-indigenous";;;"HR,EL"
"Artemia franciscana Kellog, 1906";"Artemia franciscana";"non-indigenous";;;"IT,PT"
"Ascidia interrupta Heller, 1878";"Ascidia interrupta";"non-indigenous";;;"PT"
"Ascidiella aspersa (Müller, 1776)";"Ascidiella aspersa";"non-indigenous";;;"EL"
"Asclerocheilus ashworthi Blake, 1981";"Asclerocheilus ashworthi";"data-deficient";;"ES";
"Ascophyllum nodosum (Linnaeus) Le Jolis, 1863";"Ascophyllum nodosum";"non-indigenous";;;"IT"
"Asparagopsis armata Harvey, 1855";"Asparagopsis armata";"data-deficient/non-indigenous";;"PT";"HR,CY,FR,EL,IE,IT,SI,ES,UK"
"Asparagopsis taxiformis (Delile) Trevisan de Saint-Léon, 1845";"Asparagopsis taxiformis";"non-indigenous";;;"HR,FR,EL,IT,MT,PT,ES"
"Aspidosiphon (Akrikos) mexicanus (Murina, 1967)";"Aspidosiphon (Akrikos) mexicanus";"cryptogenic";"HR,EL,MT";;
"Asterocarpa humilis (Heller, 1878)";"Asterocarpa humilis";"non-indigenous";;;"IE,UK"
"Atactodea striata (Gmelin, 1791)";"Atactodea striata";"non-indigenous";;;"MT"
"Atergatis roseus (Rüppell, 1830)";"Atergatis roseus";"non-indigenous";;;"EL"
"Atherina boyeri Risso, 1810";"Atherina boyeri";"non-indigenous";;;"UK"
"Atherinomorus forskalii (Rüppell, 1838)";"Atherinomorus forskalii";"non-indigenous";;;"CY,EL"
"Atys macandrewii E. A. Smith, 1872";"Atys macandrewii";"cryptogenic";"MT";;
"Aulacomya atra (Molina, 1782)";"Aulacomya atra";"non-indigenous";;;"UK"
"Aurelia coerulea von Lendenfeld, 1884";"Aurelia coerulea";"data-deficient/non-indigenous";;"FR";"IT,ES"
"Aurelia solida Browne, 1905";"Aurelia solida";"data-deficient";;"FR";
"Austrominius modestus (Darwin, 1854)";"Austrominius modestus";"data-deficient/non-indigenous";;"IT";"BE,DK,FR,DE,IE,NL,PT,ES,SE,UK"
"Bacteriastrum hyalinum Lauder, 1864";"Bacteriastrum hyalinum";"cryptogenic";"BG,DK,RO,UK";;
"Balanus balanus (Linnaeus, 1758)";"Balanus balanus";"non-indigenous";;;"NL"
"Balanus trigonus Darwin, 1854";"Balanus trigonus";"non-indigenous";;;"BE,HR,FR,EL,IT,PT,SI,ES"
"Bankia fimbriatula Moll & Roch, 1931";"Bankia fimbriatula";"non-indigenous";;;"IE"
"Barentsia ramosa (Robertson, 1900)";"Barentsia ramosa";"non-indigenous";;;"BE,NL"
"Beania mirabilis Johnston, 1840";"Beania mirabilis";"non-indigenous";;;"ES"
"Bedeva paivae (Crosse, 1864)";"Bedeva paivae";"cryptogenic";"PT";;
"Beroe ovata Bruguière, 1789";"Beroe ovata";"non-indigenous";;;"BG,DK,EL,RO"
"Biddulphia longicruris var. longicruris Greville, 1859";"Biddulphia longicruris var. longicruris";"non-indigenous";;;"NL"
"Biddulphia rhombus (Ehrenberg) W.Smith, 1854";"Biddulphia rhombus";"non-indigenous";;;"DK"
"Biddulphia sinensis Greville, 1866";"Biddulphia sinensis";"non-indigenous";;;"BE,DK,FR,DE,IE,NL,PL,PT,SE,UK"
"Bispira polyomma Giangrande & Faasse, 2012";"Bispira polyomma";"non-indigenous";;;"NL"
"Biuve fulvipunctata (Baba, 1938)";"Biuve fulvipunctata";"non-indigenous";;;"CY,MT"
"Bivetiella cancellata (Linnaeus, 1767)";"Bivetiella cancellata";"non-indigenous";;;"ES"
"Blackfordia virginica Mayer, 1910";"Blackfordia virginica";"non-indigenous";;;"FR,PT,ES"
"Boccardia polybranchia (Haswell, 1885)";"Boccardia polybranchia";"data-deficient";;"EL,UK";
"Boccardia proboscidea Hartman, 1940";"Boccardia proboscidea";"non-indigenous";;;"BE,ES"
"Boccardia semibranchiata Guérin, 1990";"Boccardia semibranchiata";"non-indigenous";;;"FR,ES"
"Boccardiella ligerica (Ferronnière, 1898)";"Boccardiella ligerica";"cryptogenic";"BE,FI,FR,DE,NL,ES";;
"Bonnemaisonia hamifera Hariot, 1891";"Bonnemaisonia hamifera";"non-indigenous";;;"DK,FR,DE,IE,IT,NL,PT,SI,ES,SE,UK"
"Bostrycapulus odites Collin, 2005";"Bostrycapulus odites";"non-indigenous";;;"ES"
"Botrylloides diegensis Ritter & Forsyth, 1917";"Botrylloides diegensis";"non-indigenous";;;"UK"
"Botrylloides leachii (Savigny, 1816)";"Botrylloides leachii";"cryptogenic";"EL,ES,UK";;
"Botrylloides violaceus Oka, 1927";"Botrylloides violaceus";"non-indigenous";;;"BE,FR,DE,IE,IT,NL,PT,ES,UK"
"Botryllus schlosseri (Pallas, 1766)";"Botryllus schlosseri";"cryptogenic/non-indigenous";"EL,UK";;"PT,ES"
"Botryocladia madagascariensis G.Feldmann";"Botryocladia madagascariensis";"non-indigenous";;;"CY"
"Botryocladia madagascariensis G.Feldmann, 1945";"Botryocladia madagascariensis";"non-indigenous";;;"EL,IT,MT"
"Botrytella parva (Takamatsu) H.S.Kim, 1996";"Botrytella parva";"non-indigenous";;;"IT"
"Bougainvillia macloviana Lesson, 1830";"Bougainvillia macloviana";"non-indigenous";;;"DE"
"Brachidontes exustus (Linnaeus, 1758)";"Brachidontes exustus";"cryptogenic";"IE,UK";;
"Brachidontes pharaonis (P. Fischer, 1870)";"Brachidontes pharaonis";"non-indigenous";;;"HR,CY,FR,EL,IT,MT"
"Brachynotus sexdentatus (Risso, 1827)";"Brachynotus sexdentatus";"non-indigenous";;;"FR,UK"
"Branchiomma boholense (Grube, 1878)";"Branchiomma boholense";"data-deficient/non-indigenous";;"MT";"IT"
"Branchiomma bombyx (Dalyell, 1853)";"Branchiomma bombyx";"non-indigenous";;;"NL"
"Branchiomma luctuosum (Grube, 1870)";"Branchiomma luctuosum";"non-indigenous";;;"CY,EL,IT,ES"
"Bregmaceros nectabanus Whitley, 1941";"Bregmaceros nectabanus";"data-deficient";;"IT";
