"locality";"locationID";"higherGeography";"MRGID";"placeType";"latitude";"longitude";"minLongitude";"maxLongitude";"minLatitude";"maxLatitude"
"Scheveningen";"http://marineregions.org/mrgid/14752";"Netherlands";14752;"Village";"52.1";"4.273";"4.26";"4.29";"52.09";"52.11"
"Zierikzee";"http://marineregions.org/mrgid/217";"Netherlands";217;"Town";"51.6485";"3.9185";"3.9094";"3.9276";"51.6421";"51.6549"
"Tunis Gulf";"http://marineregions.org/mrgid/3883";"Mediterranean Sea - Western Basin";3883;"Gulf";"36.8755555555556";"10.4741666666667";"10.81";"10.21";"36.63";"37.28"
"Black Sea";"http://marineregions.org/mrgid/3319";"Black Sea";3319;"IHO Sea Area";"43.2765240426";"34.1751334089";"27.44371211572";"42.35496044187";"40.90875351446";"47.31029641635"
"Celtic Sea";"http://marineregions.org/mrgid/2351";"Celtic Sea";2351;"IHO Sea Area";"49.589876844";"-7.68357444004";"-11.5";"-4.1380765434";"46.50056578772";"52.39568984501"
"West Coast of England";"http://marineregions.org/mrgid/14302";"United Kingdom";14302;"Coast";"50.56928";"-4.98779";;;;
"Irish Sea";"http://marineregions.org/mrgid/2357";"Irish Sea and St. George's Channel";2357;"IHO Sea Area";"53.4459472219";"-4.79817510558";"-6.56905257671";"-2.63917434252";"51.90413734476";"55.00417602071"
"East Coast of Scotland";"http://marineregions.org/mrgid/14298";"United Kingdom";14298;"Coast";;;;;;
"West Coast of Scotland";"http://marineregions.org/mrgid/14299";"United Kingdom";14299;"Coast";"55.81363";"-5.51514";;;;
"Grand Banks";"http://marineregions.org/mrgid/4554";"North Atlantic Ocean";4554;"Bank";"46.099637";"-51.290546";"-57.303674";"-46.878085";"42.853017";"49.090884"
"Costa Rica";"http://marineregions.org/mrgid/2162";"Costa Rica";2162;"Nation";"9.619259";"-84.2364";"-85.91139";"-82.5614";"8.025673";"11.21284"
"Waarde";"http://marineregions.org/mrgid/14738";"Netherlands";14738;"Village";"51.419";"4.0569";"4.07215";"4.06378";"51.41414";"51.42097"
"Shetlands";"http://marineregions.org/mrgid/3260";;3260;"Archipelago";"60.19175";"-1.42325";"-2.1185";"-0.728";"59.5074";"60.8761"
"Northumberland";"http://marineregions.org/mrgid/3233";"United Kingdom";3233;"County";"55.29685";"-2.0786";"-2.6931";"-1.4641";"54.7838";"55.8099"
"Portland";"http://marineregions.org/mrgid/17809";"United Kingdom";17809;"Island";"50.55";"-2.43333";"-2.4";"-2.48";"50.51";"50.58"
"Gorishoek";"http://marineregions.org/mrgid/17601";"Netherlands";17601;"Town";"51.53333";"4.08333";;;;
"Neeltje Jans, Binnenhaven";"http://marineregions.org/mrgid/17758";"Netherlands";17758;"Harbour";"51.6185";"3.689";;;;
"Norwegian Exclusive Economic Zone";"http://marineregions.org/mrgid/5686";"Norway";5686;"EEZ";"68.18893";"14.05714";"-0.48876";"36.54111";"56.08667";"74.50483"
"Schelphoek";"http://marineregions.org/mrgid/17849";"Netherlands";17849;"Harbour";"51.68333";"3.8";;;;
"Stavenisse";"http://marineregions.org/mrgid/14698";"Netherlands";14698;"Village";"51.58";"4.02";"4.01";"4.02";"51.58";"51.59"
"Wemeldinge";"http://marineregions.org/mrgid/14906";"Netherlands";14906;"Town";"51.5167";"4";;;;
"Westkapelle";"http://marineregions.org/mrgid/228";"Netherlands";228;"Town";"51.52916667";"3.44027778";"3.46";"3.43";"51.52";"51.54"
"Zijpe";"http://marineregions.org/mrgid/17940";"Netherlands";17940;"Channel";"51.65";"4.1";;;;
"Zoetersbout";"http://marineregions.org/mrgid/21357";"North Sea";21357;"Diving spot";"51.659999847412";"4.0799999237061";;;;
